Germany,Coordinates
Österreich,"(47.2000338, 13.199959)"
Deutschland,"(51.0834196, 10.4234469)"
Deutschland,"(51.0834196, 10.4234469)"
Österreich,"(47.2000338, 13.199959)"
Magyarország,"(47.1817585, 19.5060937)"
Hrvatska,"(45.5643442, 17.0118954)"
Magyarország,"(47.1817585, 19.5060937)"
"Eu, Dieppe, Seine-Maritime, Normandie, France métropolitaine, 76260, France","(50.0491699, 1.4175744)"
"Budapest, Pest megye, Közép-Magyarország, 1161, Magyarország","(47.48138955, 19.14607278448202)"
"Austrian, Liverpool, Lake Station, Lake County, Indiana, 46405, United States of America","(41.5548944, -87.2677437)"
Deutschland,"(51.0834196, 10.4234469)"
India,"(22.3511148, 78.6677428)"
لبنان,"(33.8750629, 35.843409)"
ኢትዮጵያ,"(10.2116702, 38.6521203)"
"Historic, Häckerpfad, Gössenheim, Verwaltungsgemeinschaft Gemünden a. Main, Landkreis Main-Spessart, Bayern, 97780, Deutschland","(50.0186946, 9.7945168)"
Deutschland,"(51.0834196, 10.4234469)"
Magyarország,"(47.1817585, 19.5060937)"
"Србија, Србија (Serbia)","(44.024322850000004, 21.07657433209902)"
Magyarország,"(47.1817585, 19.5060937)"
"Gah, Maluku, Indonesia","(-3.5159598, 130.6460711)"
Deutschland,"(51.0834196, 10.4234469)"
Österreich,"(47.2000338, 13.199959)"
Deutschland,"(51.0834196, 10.4234469)"
"American, Agri-Empresa, Bounce, Midland, Midland County, Texas, 79712, United States of America","(31.9510266, -102.16763)"
Deutschland,"(51.0834196, 10.4234469)"
Magyarország,"(47.1817585, 19.5060937)"
Österreich,"(47.2000338, 13.199959)"
"Budapest, Pest megye, Közép-Magyarország, 1161, Magyarország","(47.48138955, 19.14607278448202)"
Deutschland,"(51.0834196, 10.4234469)"
France,"(46.603354, 1.8883335)"
Deutschland,"(51.0834196, 10.4234469)"
Österreich,"(47.2000338, 13.199959)"
Magyarország,"(47.1817585, 19.5060937)"
Magyarország,"(47.1817585, 19.5060937)"
Österreich,"(47.2000338, 13.199959)"
Magyarország,"(47.1817585, 19.5060937)"
Österreich,"(47.2000338, 13.199959)"
"Nickelsdorf, Bezirk Neusiedl am See, Burgenland, 2425, Österreich","(47.9403019, 17.0661763)"
"Wien, 1010, Österreich","(48.2083537, 16.3725042)"
Österreich,"(47.2000338, 13.199959)"
Deutschland,"(51.0834196, 10.4234469)"
"Bauen, Uri, 6466, Switzerland","(46.9353529, 8.5795457)"
Magyarország,"(47.1817585, 19.5060937)"
"Budapest, Pest megye, Közép-Magyarország, 1161, Magyarország","(47.48138955, 19.14607278448202)"
Österreich,"(47.2000338, 13.199959)"
"Westbahnhof, Europaplatz, Nibelungenviertel, KG Fünfhaus, Rudolfsheim-Fünfhaus, Wien, 1150, Österreich","(48.1967867, 16.337686013711394)"
"Zug, Switzerland","(47.1486137, 8.5539378)"
Deutschland,"(51.0834196, 10.4234469)"
"Rottenburg am Neckar, Verwaltungsgemeinschaft Rottenburg am Neckar, Landkreis Tübingen, Baden-Württemberg, 72108, Deutschland","(48.47696, 8.9336788)"
"Caen, Calvados, Normandie, France métropolitaine, 14000, France","(49.1810037, -0.3698915)"
India,"(22.3511148, 78.6677428)"
Deutschland,"(51.0834196, 10.4234469)"
Sverige,"(59.6749712, 14.5208584)"
Magyarország,"(47.1817585, 19.5060937)"
"The Hungarian, 362, Bridge Road, Richmond, City of Yarra, Victoria, 3121, Australia","(-37.8191399, 145.0033598)"
Europa,"(51.0, 10.0)"
"Budapest, Pest megye, Közép-Magyarország, 1161, Magyarország","(47.48138955, 19.14607278448202)"
Deutschland,"(51.0834196, 10.4234469)"
Österreich,"(47.2000338, 13.199959)"
Magyarország,"(47.1817585, 19.5060937)"
Deutschland,"(51.0834196, 10.4234469)"
Deutschland,"(51.0834196, 10.4234469)"
"Budapest, Pest megye, Közép-Magyarország, 1161, Magyarország","(47.48138955, 19.14607278448202)"
Österreich,"(47.2000338, 13.199959)"
سوريا,"(34.6401861, 39.0494106)"
Österreich,"(47.2000338, 13.199959)"
"سنڌ, پاکستان","(25.5, 69.0)"
Deutschland,"(51.0834196, 10.4234469)"
"Герман, Општина Ранковце, Североисточен СР, Македонија","(42.2781117, 22.1039047)"
Deutschland,"(51.0834196, 10.4234469)"
لبنان,"(33.8750629, 35.843409)"
الأردن,"(31.1667049, 36.941628)"
Türkiye,"(38.9597594, 34.9249653)"
Canada,"(61.0666922, -107.9917071)"
Deutschland,"(51.0834196, 10.4234469)"
United Kingdom,"(54.7023545, -3.2765753)"
Australia,"(-24.7761086, 134.755)"
United States,"(39.7837304, -100.4458825)"
Österreich,"(47.2000338, 13.199959)"
"Budapest, Pest megye, Közép-Magyarország, 1161, Magyarország","(47.48138955, 19.14607278448202)"
Österreich,"(47.2000338, 13.199959)"
Österreich,"(47.2000338, 13.199959)"
"دمشق, محافظة دمشق, 2277, Sūriyya سوريا","(33.5130695, 36.3095814)"
"Budapest, Pest megye, Közép-Magyarország, 1161, Magyarország","(47.48138955, 19.14607278448202)"
Österreich,"(47.2000338, 13.199959)"
"Afghan, 19019, Avenida das Américas, Gleba Finch, Recreio dos Bandeirantes, Zona Oeste do Rio de Janeiro, Rio de Janeiro, Região Geográfica Imediata do Rio de Janeiro, Região Metropolitana do Rio de Janeiro, Região Geográfica Intermediária do Rio de Janeiro, Rio de Janeiro, Região Sudeste, 22790-600, Brasil","(-23.0213297, -43.4883079)"
افغانستان,"(33.7680065, 66.2385139)"
Magyarország,"(47.1817585, 19.5060937)"
"Lebanon Road, Meadow Glen, Camden, Kent County, Delaware, 19934, United States of America","(39.113055, -75.5368564)"
Österreich,"(47.2000338, 13.199959)"
"Wiener, Area D (Sproat Lake), Alberni-Clayoquot Regional District, British Columbia, Canada","(49.2955533, -124.9934592)"
"Austin-Bergstrom International Airport, Hedgerow Place, Moores Crossing, Travis County, Texas, 78617, United States of America","(30.19348925, -97.66500963529677)"
Deutschland,"(51.0834196, 10.4234469)"
"Wien, 1010, Österreich","(48.2083537, 16.3725042)"
Österreich,"(47.2000338, 13.199959)"
Magyarország,"(47.1817585, 19.5060937)"
Europa,"(51.0, 10.0)"
Deutschland,"(51.0834196, 10.4234469)"
Deutschland,"(51.0834196, 10.4234469)"
